N,P,K,temperature,humidity,ph,rainfall,season_length,altitude,label
100.1,31.42,107.14,26.22,65.56,6.66,889.47,285.11,303.93,citrus
85.76,37.94,71.64,24.38,91.6,5.73,1508.97,161.01,30.7,rice
27.05,15.41,45.03,13.15,61.12,7.64,511.71,231.59,424.04,olive
57.52,22.79,79.52,14.92,54.71,5.76,691.3,161.02,179.55,grape
22.58,14.01,44.08,15.49,39.14,7.04,402.69,198.12,458.94,almond
142.57,52.79,103.03,28.92,96.02,6.53,1430.01,318.31,71.74,sugarcane
94.83,53.95,64.51,31.79,73.52,6.45,861.87,149.26,114.25,maize
124.07,86.56,201.02,27.13,86.35,5.27,1549.87,325.83,5.68,banana
100.9,47.93,98.54,29.97,66.2,6.29,928.17,187.75,175.63,maize
144.96,39.54,129.18,14.29,60.66,6.66,843.34,155.08,233.84,tomato
122.69,52.73,93.75,27.09,98.23,5.5,1452.39,365.0,0.0,sugarcane
157.59,49.56,150.17,21.85,71.36,6.12,755.25,141.51,0.0,tomato
27.25,12.77,31.53,16.89,45.02,8.05,369.62,210.6,498.99,fig
54.18,21.7,62.25,16.17,49.01,8.13,424.06,194.78,396.03,olive
79.79,42.62,94.55,26.88,47.41,4.96,822.71,144.28,452.6,mango
103.43,32.69,86.94,18.53,51.39,6.35,962.65,305.51,73.11,citrus
33.43,33.29,26.51,17.25,38.06,7.19,237.04,203.29,542.67,almond
39.54,26.22,107.25,26.01,41.46,7.36,419.46,199.43,338.75,fig
55.82,49.04,74.86,31.78,40.0,6.31,868.29,131.56,138.34,mango
38.84,7.46,47.63,17.63,45.67,7.89,577.4,311.31,400.71,olive
41.26,70.06,37.36,19.16,33.41,7.11,514.74,162.93,523.02,chickpea
123.31,55.63,160.46,24.03,61.05,6.03,523.4,132.35,0.0,tomato
100.85,78.37,188.83,27.95,87.94,5.37,1580.96,239.17,96.16,banana
104.4,55.61,95.32,29.01,58.11,6.31,823.97,165.32,82.69,maize
113.3,51.13,52.16,27.0,94.38,6.59,1468.42,90.03,132.81,rice
95.4,42.39,56.57,22.56,69.79,7.13,891.91,314.32,206.73,citrus
40.28,34.59,43.56,17.83,43.21,7.24,452.52,224.92,502.59,almond
159.83,63.15,88.57,25.74,55.04,6.37,713.86,199.62,115.18,cotton
31.62,23.55,43.35,24.85,49.31,7.79,382.2,166.28,229.89,fig
14.94,52.86,40.42,23.44,35.59,7.35,307.42,150.6,632.74,chickpea
44.3,38.66,34.95,16.41,29.85,6.56,538.01,151.75,393.56,lentil
79.95,41.59,89.16,21.57,59.97,6.53,823.43,328.52,172.14,citrus
97.39,47.71,59.38,21.02,72.68,6.84,903.68,288.36,202.58,citrus
35.13,24.22,54.55,19.17,56.63,7.04,380.39,255.46,377.82,fig
134.16,54.83,116.64,29.0,79.28,5.47,1305.56,309.7,63.69,sugarcane
73.15,93.46,170.46,21.62,85.57,5.45,1715.26,313.49,0.0,banana
12.64,56.48,55.19,8.89,50.79,5.88,406.46,107.78,516.15,lentil
77.36,46.6,96.89,28.89,36.7,5.78,963.92,133.68,271.56,mango
128.0,73.74,126.23,25.41,48.86,5.92,711.01,130.02,0.0,cotton
107.15,55.91,46.3,25.07,68.53,6.91,888.25,113.62,119.13,maize
4.05,47.57,56.56,21.57,50.67,7.21,451.46,151.63,403.56,chickpea
126.47,61.39,92.87,36.74,89.78,6.22,1462.79,303.16,150.2,sugarcane
102.28,32.83,45.68,21.98,61.11,6.44,877.92,92.8,44.3,maize
149.82,60.8,118.14,29.89,83.8,5.63,1649.14,333.43,0.0,sugarcane
85.99,29.92,66.8,17.36,50.51,7.75,364.72,135.19,483.93,wheat
138.25,58.51,71.05,27.41,51.29,7.32,568.24,176.54,46.53,cotton
58.68,52.48,59.71,15.92,44.09,6.53,670.11,145.27,272.68,wheat
114.57,46.44,55.24,27.52,81.78,5.61,684.75,188.63,190.49,maize
101.45,44.35,174.07,24.39,66.76,6.61,651.64,127.5,84.04,tomato
144.41,53.11,159.54,28.12,80.1,6.56,1436.28,355.75,1.37,sugarcane
35.5,13.65,46.47,20.77,49.63,7.43,525.13,146.3,367.3,fig
119.9,59.38,87.73,22.93,50.73,6.17,819.41,158.19,178.09,cotton
13.39,40.78,36.93,15.49,48.94,6.95,273.39,138.64,268.7,lentil
42.09,1.84,43.32,18.63,59.66,7.46,541.16,179.85,316.31,olive
14.74,47.75,36.12,23.02,38.49,8.03,392.7,76.05,667.57,chickpea
15.78,62.19,8.38,17.62,47.69,7.53,356.32,70.56,411.97,chickpea
23.48,58.03,56.76,11.76,49.86,6.55,514.47,62.43,624.06,lentil
18.89,1.21,56.19,13.47,43.7,7.08,495.47,240.24,443.02,almond
106.5,50.62,107.37,23.35,65.12,6.9,817.2,117.23,416.38,maize
17.7,51.54,63.15,12.19,48.56,6.21,350.35,111.34,385.81,lentil
15.88,61.46,63.6,14.92,50.07,7.02,416.8,124.35,386.43,lentil
119.36,67.14,230.29,25.27,76.3,5.87,1549.71,308.6,60.27,banana
0.0,42.97,41.04,19.83,42.12,8.29,221.33,30.0,673.07,chickpea
45.23,17.74,0.0,18.81,57.06,6.86,501.64,234.25,553.8,olive
102.57,42.64,26.26,27.47,68.22,5.46,875.12,125.77,228.91,maize
84.83,30.66,19.9,7.61,53.52,7.22,479.42,119.2,384.66,wheat
20.8,60.02,41.9,13.74,48.49,7.49,417.23,65.02,679.74,chickpea
49.59,16.43,73.27,21.62,45.01,8.01,275.09,217.87,379.96,almond
41.66,62.09,71.43,24.67,42.13,7.55,299.79,126.12,654.1,chickpea
117.02,63.34,156.58,24.42,69.88,5.88,708.67,91.24,0.0,tomato
40.31,54.68,63.44,18.11,48.93,7.7,402.92,144.47,423.27,lentil
12.71,58.44,31.49,17.73,53.07,7.33,477.79,140.31,561.72,chickpea
25.49,5.02,46.97,16.73,40.15,7.08,398.44,217.87,516.98,almond
100.82,62.17,77.29,28.06,60.85,6.48,550.29,155.87,123.96,cotton
15.05,68.64,56.03,12.88,49.09,7.96,362.16,106.46,598.43,chickpea
64.16,39.21,63.55,15.19,52.99,7.06,406.62,109.02,401.36,wheat
59.59,39.81,110.47,18.79,48.43,6.95,645.15,180.8,414.93,grape
106.32,40.74,65.93,18.58,60.06,5.77,752.99,116.85,143.27,maize
62.11,43.86,91.6,36.75,55.07,5.42,1125.03,182.72,274.24,mango
106.9,31.83,88.47,28.59,86.96,5.48,1556.82,153.71,151.4,rice
120.96,42.75,87.01,23.17,73.88,5.79,611.62,157.31,312.9,maize
116.07,62.16,126.36,28.72,61.99,5.77,550.04,123.74,0.0,cotton
0.0,58.71,51.41,15.96,56.77,7.36,448.23,115.66,525.92,lentil
97.75,65.55,90.58,27.76,46.47,6.86,833.36,194.2,0.0,cotton
48.73,42.24,49.03,15.23,40.8,7.26,532.36,30.0,479.22,chickpea
44.31,0.0,23.1,18.15,58.22,7.46,146.2,220.56,334.14,fig
160.6,37.32,154.32,21.09,67.25,6.5,781.33,68.51,136.32,tomato
12.61,3.44,73.13,12.36,44.35,7.26,568.51,300.07,627.0,almond
42.17,15.75,91.25,15.67,40.37,7.2,561.62,199.56,262.68,almond
60.53,5.32,54.86,23.37,57.67,7.99,152.45,213.41,414.16,fig
40.33,7.52,23.54,18.19,51.34,7.44,231.2,158.59,298.23,fig
36.77,69.01,27.01,14.1,43.49,8.41,374.23,115.85,531.84,chickpea
52.95,50.07,112.03,24.28,57.75,5.82,906.62,188.09,215.55,mango
70.11,24.1,110.18,13.36,60.49,6.01,551.12,225.43,244.92,grape
55.06,38.41,40.15,15.76,52.99,6.92,415.57,148.7,383.06,wheat
44.69,31.96,78.61,16.53,56.11,7.02,571.26,232.91,317.85,grape
55.94,35.72,102.49,23.82,71.09,6.44,908.15,276.64,54.82,citrus
96.52,38.8,33.75,11.38,37.04,6.84,165.47,130.87,536.22,wheat
118.99,43.77,155.09,25.27,61.3,6.03,869.84,101.05,0.0,tomato
43.26,55.97,117.04,18.35,71.77,6.25,538.55,195.04,183.4,grape
120.54,46.7,144.89,32.2,70.27,5.57,1630.96,349.02,198.6,sugarcane
96.65,62.18,45.34,21.75,63.89,5.36,875.57,146.83,35.31,maize
34.96,23.88,43.99,21.62,47.88,6.96,390.98,210.05,358.27,fig
122.78,60.81,130.17,35.46,80.64,5.57,1815.32,272.24,49.05,sugarcane
120.37,39.72,191.76,24.32,73.48,5.44,691.36,137.72,236.07,tomato
62.16,43.34,103.24,14.33,61.59,5.88,206.81,183.39,192.11,wheat
8.67,10.16,51.2,20.76,39.59,7.15,437.6,173.65,362.83,fig
21.05,23.16,15.45,24.26,57.68,7.76,242.93,272.37,523.48,fig
26.83,25.0,31.22,16.84,43.72,7.17,432.08,197.03,520.17,almond
104.03,54.69,179.31,23.29,71.17,6.02,757.23,95.31,33.71,tomato
113.89,50.02,82.88,29.82,52.38,5.34,782.08,160.4,155.86,maize
109.22,68.89,227.75,24.94,96.58,5.49,1456.6,310.49,53.72,banana
126.91,72.14,30.97,25.52,85.83,6.37,1418.82,153.74,207.03,rice
145.37,44.85,149.93,22.95,68.32,5.34,790.6,81.29,130.86,tomato
62.59,43.59,101.65,13.34,50.08,5.68,642.45,176.13,245.1,grape
70.63,37.71,118.42,33.46,49.85,5.69,897.97,111.05,306.68,mango
39.8,50.5,84.81,14.86,34.94,7.21,516.06,108.46,431.64,lentil
25.53,11.68,103.38,20.56,57.31,7.2,118.77,243.28,492.87,fig
6.04,48.95,46.41,17.24,38.51,7.09,648.47,113.17,577.93,lentil
112.01,32.69,56.72,23.5,62.91,6.04,917.6,110.83,173.18,maize
95.91,42.91,107.43,17.58,77.1,6.35,950.69,312.36,41.01,citrus
130.37,52.17,126.85,20.41,71.32,5.77,724.12,86.32,86.38,tomato
44.92,43.04,140.31,11.41,35.75,7.44,658.05,175.6,327.68,grape
20.23,59.08,85.8,18.43,48.99,7.33,530.73,140.11,734.83,chickpea
64.52,42.19,40.07,5.72,58.92,6.07,531.97,151.74,365.54,wheat
111.76,68.4,96.21,25.49,54.49,6.94,826.0,208.41,173.94,cotton
89.87,46.85,53.42,10.14,54.19,7.5,621.94,161.06,399.29,wheat
58.15,40.16,80.57,21.46,62.12,7.42,679.08,253.03,99.44,citrus
74.35,57.91,45.73,19.43,39.95,6.83,580.06,152.25,489.13,wheat
106.68,44.29,49.94,24.52,89.74,5.92,1539.12,176.36,84.86,rice
31.48,21.46,72.99,20.74,52.58,7.63,393.83,187.79,396.65,olive
34.87,31.64,110.65,17.37,56.91,5.9,717.73,199.79,277.71,grape
150.83,63.93,151.15,28.79,89.03,5.84,1657.81,293.28,32.7,sugarcane
88.72,51.32,102.41,32.72,48.85,6.86,977.76,183.61,223.12,mango
121.92,45.91,140.51,24.23,69.48,5.57,566.5,84.64,69.9,tomato
149.21,60.3,127.51,34.89,71.71,6.25,1445.41,336.59,148.6,sugarcane
35.93,10.05,28.33,18.86,54.83,6.84,566.66,243.66,426.35,fig
55.2,47.03,114.79,28.82,50.39,5.16,1067.26,185.57,275.43,mango
38.59,31.78,69.21,21.92,44.18,7.54,312.9,168.89,545.31,fig
24.06,58.99,85.77,11.77,59.42,6.87,243.06,119.48,418.79,lentil
120.51,63.49,72.17,21.97,54.01,7.92,653.69,196.53,33.56,cotton
5.12,43.97,50.68,12.89,39.65,6.75,367.93,141.43,521.33,lentil
57.24,46.02,39.66,18.41,50.55,7.34,595.46,127.12,366.8,wheat
36.12,23.26,36.67,25.26,43.14,7.89,383.16,186.28,338.78,fig
147.79,65.42,101.15,30.12,85.42,6.34,1516.91,301.07,114.68,sugarcane
14.49,39.24,18.17,12.17,54.76,7.78,221.25,120.67,541.73,lentil
113.57,38.26,64.01,16.93,55.81,7.15,688.37,147.17,176.58,maize
74.62,45.99,78.83,28.36,93.41,5.42,1265.9,130.85,18.26,rice
32.72,0.0,72.23,18.01,48.34,6.99,355.18,262.26,395.17,olive
116.89,37.33,90.05,20.2,74.39,6.74,909.11,312.2,196.5,citrus
83.98,27.73,92.48,20.41,62.75,5.99,827.5,288.88,32.09,citrus
74.61,37.13,74.54,28.52,56.75,5.95,948.54,110.47,30.61,mango
116.23,64.13,118.91,35.01,56.19,5.61,813.91,176.3,187.92,cotton
90.08,33.47,40.44,23.77,74.58,6.95,886.35,218.9,59.18,citrus
94.52,46.25,65.87,36.36,58.39,6.16,1080.09,163.04,205.83,mango
43.38,28.53,28.63,20.87,53.91,6.9,423.55,199.82,568.62,fig
60.61,41.12,65.32,16.46,62.53,6.66,704.09,245.33,300.86,citrus
57.13,0.0,68.57,17.98,52.38,7.79,355.44,233.79,324.33,olive
70.95,40.88,96.01,30.37,66.05,6.7,820.86,154.95,27.57,mango
71.19,20.86,56.36,14.82,57.52,6.49,738.43,113.9,390.87,wheat
4.43,18.67,33.09,19.69,58.82,8.14,657.01,219.25,503.05,olive
33.57,0.0,70.08,14.5,41.82,7.48,608.26,219.86,364.71,olive
20.78,43.65,94.73,10.55,56.33,7.23,552.11,92.28,563.45,lentil
17.97,42.49,69.73,16.87,44.75,7.98,109.59,71.84,589.99,chickpea
33.78,0.0,94.41,13.23,36.26,6.82,224.14,232.97,304.0,almond
125.18,49.53,109.96,27.39,46.86,6.73,1086.68,122.85,239.53,maize
113.19,92.12,191.58,32.15,93.04,5.92,1650.91,273.94,97.73,banana
116.9,40.45,149.22,22.78,55.17,6.17,731.48,115.9,208.62,tomato
87.11,38.96,92.17,18.91,60.33,7.54,762.19,297.64,339.82,citrus
101.8,82.86,192.75,22.47,79.19,5.65,1744.76,298.89,0.0,banana
24.92,12.31,34.17,17.57,37.88,6.72,346.97,274.92,402.14,fig
89.15,49.36,63.15,20.88,67.74,6.36,804.34,267.94,262.44,citrus
22.01,12.28,49.16,17.02,43.32,7.43,309.36,237.25,317.2,fig
42.14,30.41,23.2,21.0,53.1,7.14,583.0,215.61,475.43,fig
102.34,43.03,79.93,23.05,74.25,6.16,895.71,285.45,84.59,citrus
78.79,82.1,222.36,29.53,85.52,5.43,1569.4,292.71,0.0,banana
34.92,55.33,75.33,12.69,32.76,7.4,435.35,138.08,429.71,chickpea
11.59,26.98,97.9,13.99,43.27,6.37,396.76,234.8,224.99,fig
23.01,41.71,30.58,17.77,60.76,7.7,404.33,229.26,493.7,almond
53.43,11.06,53.27,17.07,22.61,7.79,189.35,212.39,508.68,almond
18.78,0.39,54.0,20.99,47.38,7.81,311.16,243.83,281.54,olive
96.01,51.71,40.01,14.9,51.13,6.86,652.2,174.18,264.18,wheat
38.95,31.92,68.44,18.01,61.2,6.33,402.63,169.13,225.27,grape
22.88,36.26,60.73,16.82,45.79,7.32,488.67,241.91,403.07,olive
101.04,59.86,141.56,23.98,58.75,6.11,592.65,109.24,93.57,tomato
26.8,35.04,79.75,15.26,46.6,6.98,354.82,162.62,489.78,almond
14.32,43.33,44.68,23.65,48.01,8.55,488.41,154.9,510.03,chickpea
58.75,50.6,87.2,27.71,58.7,5.76,765.13,161.79,123.93,mango
85.49,66.11,180.72,28.15,84.81,5.73,1326.89,281.05,17.92,banana
30.67,21.92,58.15,12.61,49.41,7.15,294.61,223.07,290.96,olive
109.89,59.61,103.2,32.21,64.91,7.09,709.62,111.94,200.72,cotton
113.77,53.8,143.11,35.28,89.3,6.5,1649.67,311.82,4.21,sugarcane
122.8,62.25,94.83,27.03,47.37,7.27,642.69,108.8,97.44,cotton
50.86,2.24,54.8,17.99,74.52,7.59,663.94,227.21,309.33,olive
129.79,38.23,62.78,24.35,81.09,5.4,1530.48,203.63,0.0,rice
151.84,28.54,164.28,24.1,66.74,6.69,603.47,135.17,73.48,tomato
76.68,37.43,84.11,17.69,64.99,5.74,842.99,230.85,38.46,citrus
3.77,16.67,47.27,20.27,59.64,7.21,655.47,208.2,521.48,olive
109.6,57.46,42.87,31.37,91.27,5.43,1502.98,166.41,0.0,rice
