Country/Region,Commodity,Season,Area Harvested,Closing Stocks,Crush,Domestic Supply,Domestic Utilization,Exports (ITY),Exports (NMY),Extraction Rate,Feed Use,Food Use,Imports (ITY),Imports (NMY),Industrial Use,Opening Stocks,Other Uses,Per Capita Food Use,Production,Production Paddy,Residual,Seeds,Stocks to Use Ratio,Supply,Total Supply,Total Utilization,Trade,Yield,Next_Year_Production
Argentina,COARSE GRAINS,2012/13,7.922795,1.812,0.0,35.19125,9.536485,28.808,23.863765,0.0,6.675485,0.303,0.021,0.021,2.23,4.008,2.558,7.2,31.18325,0.0,1.3,0.0,11.632124435485682,0.0,35.21225,35.21225,0.0,3.936,40.96132
Argentina,COARSE GRAINS,2013/14,8.49745,3.861,0.0,42.77332,15.57755,15.9442,23.38977,0.0,11.31155,0.308,0.055,0.055,2.49,1.812,3.958,7.2,40.96132,0.0,1.26,0.0,20.709908411891703,0.0,42.82832,42.82832,0.0,4.82,40.04407
Argentina,COARSE GRAINS,2014/15,8.11011,5.619,0.0,43.90507,18.64325,22.6753,19.69782,0.0,13.87225,0.313,0.055,0.055,2.63,3.861,4.458,7.3,40.04407,0.0,1.26,0.0,28.265753416388403,0.0,43.96007,43.96007,0.0,4.938,42.44621
Argentina,COARSE GRAINS,2015/16,8.20617,5.24,0.0,48.06521,19.87918,22.062307,23.00103,0.0,15.00718,0.315,0.055,0.055,3.08,5.619,4.557,7.2,42.44621,0.0,1.5,0.0,23.92320577896994,0.0,48.12021,48.12021,0.0,5.172,47.04428
Argentina,COARSE GRAINS,2016/17,8.95155,5.888,0.0,52.28428,21.903419,25.982412,24.547861,0.0,17.728419,0.318,0.055,0.055,2.69,5.24,3.857,7.2,47.04428,0.0,1.58,0.0,25.936836051356345,0.0,52.33928,52.33928,0.0,5.255,56.3762
Argentina,COARSE GRAINS,2017/18,10.4251,10.65,0.0,62.2642,22.701304,28.735,28.974996,0.0,18.023304,0.321,0.0622,0.0621,2.85,5.888,4.357,7.2,56.3762,0.0,1.35,0.0,41.27918496516735,0.0,62.3263,62.3263,0.0,5.408,50.771028
Argentina,COARSE GRAINS,2018/19,11.450966,9.75,0.0,61.421028,25.799928,31.475,25.929,0.0,20.668928,0.324,0.0593,0.0579,2.95,10.65,4.807,7.3,50.771028,0.0,1.68,0.0,41.25639474118488,0.0,61.478928,61.478928,0.0,4.434,63.273
Argentina,COARSE GRAINS,2019/20,11.2455,9.561,0.0,73.023,23.6327,41.774054,39.8855,0.0,18.4687,0.327,0.0542,0.0562,3.27,9.75,4.837,7.3,63.273,0.0,1.31,0.0,34.384916210098204,0.0,73.0792,73.0792,0.0,5.627,65.5181
Argentina,COARSE GRAINS,2020/21,11.6147,8.209,0.0,75.0791,27.805797,38.3114,39.119,0.0,22.519797,0.329,0.0549,0.054697,2.98,9.561,4.957,7.3,65.5181,0.0,1.44,0.0,33.4048172277542,0.0,75.133797,75.133797,0.0,5.641,70.0028
Argentina,COARSE GRAINS,2021/22,12.779,6.417,0.0,78.2118,24.5743,46.898,47.277,0.0,19.3783,0.329,0.0565,0.0565,3.26,8.209,4.867,7.3,70.0028,0.0,1.58,0.0,24.76152991294684,0.0,78.2683,78.2683,0.0,5.478,66.9542
Argentina,COARSE GRAINS,2022/23,13.743,8.732,0.0,73.3712,25.9152,31.154,38.783,0.0,20.2042,0.329,0.061,0.059,3.69,6.417,5.382,7.2,66.9542,0.0,1.21,0.0,35.21010334802437,0.0,73.4302,73.4302,0.0,4.872,48.881
Argentina,COARSE GRAINS,2023/24,13.143,3.933,0.0,57.613,24.7997,35.022196,28.9477,0.0,19.3637,0.329,0.0689,0.0674,3.64,8.732,5.107,7.2,48.881,0.0,1.61,0.0,16.339924946856815,0.0,57.6804,57.6804,0.0,3.719,65.518
Argentina,COARSE GRAINS,2024/25,12.971,4.468,0.0,69.451,24.069878,40.179,40.9746,0.0,19.033878,0.329,0.0588,0.061478,3.9,3.933,4.707,7.2,65.518,0.0,1.69,0.0,17.76117029734457,0.0,69.512478,69.512478,0.0,5.051,61.268
Argentina,COARSE GRAINS,2025/26,11.992,6.868,0.0,65.736,25.156,35.127,33.769,0.0,19.62,0.329,0.059,0.057,4.2,4.468,5.207,7.2,61.268,0.0,2.12,0.0,26.532987387682752,0.0,65.793,65.793,0.0,5.109,67.76
Argentina,Maize,2000/01,3.098,0.923,0.0,17.751,4.883,11.834,11.946,0.0,3.673,0.26,0.001,0.001,0.0,0.97,0.95,7.0,16.781,0.0,0.0,0.0,16.32183908045977,0.0,17.752,17.752,0.0,5.417,15.359
Argentina,Maize,2001/02,2.815,0.997,0.0,16.282,5.655,9.202,9.631,0.0,4.495,0.26,0.001,0.001,0.0,0.923,0.9,6.9,15.359,0.0,0.0,0.0,23.14836312978872,0.0,16.283,16.283,0.0,5.456,14.712
Argentina,Maize,2002/03,2.42,0.754,0.0,15.709,4.307,11.661,10.651,0.0,3.542,0.265,0.003,0.003,0.0,0.997,0.5,7.0,14.712,0.0,0.0,0.0,18.29652996845426,0.0,15.712,15.712,0.0,6.079,15.045
Argentina,Maize,2003/04,2.323,0.778,0.0,15.799,4.121,9.915,10.901,0.0,3.051,0.27,0.001,0.001,0.0,0.754,0.8,7.0,15.045,0.0,0.0,0.0,16.68811668811669,0.0,15.8,15.8,0.0,6.477,14.951
Argentina,Maize,2004/05,2.339,0.5,0.0,15.729,4.662,12.386,10.572,0.0,3.887,0.275,0.005,0.005,1.0,0.778,0.5,7.1,14.951,0.0,0.3,0.0,9.274717121127804,0.0,15.734,15.734,0.0,6.392,20.483
Argentina,Maize,2005/06,2.783,1.4,0.0,20.983,5.391,11.333,14.198,0.0,4.011,0.28,0.006,0.006,1.05,0.5,1.1,7.1,20.483,0.0,0.26,0.0,26.28120893561104,0.0,20.989,20.989,0.0,7.36,14.446
Argentina,Maize,2006/07,2.447,0.9,0.0,15.846,5.327,13.377,9.623,0.0,4.047,0.28,0.004,0.004,1.2,1.4,1.0,7.1,14.446,0.0,0.23,0.0,16.679021497405486,0.0,15.85,15.85,0.0,5.904,21.755
Argentina,Maize,2007/08,2.838,2.4,0.0,22.655,5.396,14.829,14.863,0.0,3.906,0.29,0.004,0.004,1.2,0.9,1.2,7.2,21.755,0.0,0.31,0.0,48.08655580044079,0.0,22.659,22.659,0.0,7.666,22.017
Argentina,Maize,2008/09,3.412,1.4,0.0,24.417,4.991,12.061,18.03,0.0,3.501,0.29,0.004,0.004,1.3,2.4,1.2,7.2,22.017,0.0,0.15,0.0,34.93885700024956,0.0,24.421,24.421,0.0,6.453,13.121
Argentina,Maize,2009/10,2.353,0.5,0.0,14.521,4.007,12.964,10.018,0.0,3.012,0.295,0.004,0.004,1.36,1.4,0.7,7.2,13.121,0.0,0.31,0.0,8.809020436927414,0.0,14.525,14.525,0.0,5.576,22.677
Argentina,Maize,2010/11,2.903,1.0,0.0,23.177,5.676,15.775,16.505,0.0,4.281,0.295,0.004,0.004,1.44,0.5,1.1,7.1,22.677,0.0,0.3,0.0,16.795431642593215,0.0,23.181,23.181,0.0,7.812,23.8
Argentina,Maize,2011/12,4.56,2.5,0.0,24.8,5.954,16.155,16.35,0.0,4.359,0.295,0.004,0.004,1.56,1.0,1.3,7.1,23.8,0.0,0.31,0.0,43.46314325452017,0.0,24.804,24.804,0.0,5.219,21.197
Argentina,Maize,2012/13,5.0,0.8,0.0,23.697,5.752,21.669,17.149,0.0,4.357,0.295,0.004,0.004,1.8,2.5,1.1,7.0,21.197,0.0,0.65,0.0,6.827686267815994,0.0,23.701,23.701,0.0,4.239,32.1
Argentina,Maize,2013/14,6.1,2.5,0.0,32.9,11.717,12.074,18.687,0.0,8.917,0.3,0.004,0.004,2.06,0.8,2.5,7.0,32.1,0.0,0.65,0.0,17.35870018053048,0.0,32.904,32.904,0.0,5.262,33.0
Argentina,Maize,2014/15,6.1,4.0,0.0,35.5,14.402,19.865,17.102,0.0,11.097,0.305,0.004,0.004,2.2,2.5,3.0,7.1,33.0,0.0,0.68,0.0,26.952361700694023,0.0,35.504,35.504,0.0,5.41,33.8
Argentina,Maize,2015/16,6.0,4.0,0.0,37.8,14.841,18.553,18.963,0.0,12.034,0.307,0.004,0.004,2.6,4.0,2.5,7.1,33.8,0.0,0.75,0.0,23.06938116385028,0.0,37.804,37.804,0.0,5.633,39.8
Argentina,Maize,2016/17,6.9,5.0,0.0,43.8,17.339,22.6,21.465,0.0,14.529,0.31,0.004,0.004,2.35,4.0,2.5,7.1,39.8,0.0,0.9,0.0,26.99186465199389,0.0,43.804,43.804,0.0,5.768,49.5
Argentina,Maize,2017/18,8.48,10.0,0.0,54.5,18.5241,25.568,25.987,0.0,15.2111,0.313,0.0112,0.0111,2.45,5.0,3.0,7.1,49.5,0.0,0.64,0.0,45.463018107920114,0.0,54.5111,54.5111,0.0,5.837,43.46
Argentina,Maize,2018/19,9.14,9.0,0.0,53.46,21.9959,28.478,22.471,0.0,18.4299,0.316,0.0083,0.0069,2.55,10.0,3.25,7.1,43.46,0.0,0.74,0.0,45.54356241745229,0.0,53.4669,53.4669,0.0,4.755,57.0
Argentina,Maize,2019/20,9.0,9.0,0.0,66.0,19.7613,39.1153,37.2439,0.0,16.1633,0.318,0.0032,0.0052,3.07,9.0,3.28,7.1,57.0,0.0,0.75,0.0,37.92556114133521,0.0,66.0052,66.0052,0.0,6.333,58.5
Argentina,Maize,2020/21,9.5,7.5,0.0,67.5,23.730697,34.5,36.273,0.0,19.910697,0.32,0.0039,0.003697,2.68,9.0,3.5,7.1,58.5,0.0,0.82,0.0,35.70493442193711,0.0,67.503697,67.503697,0.0,6.158,60.5
Argentina,Maize,2021/22,9.7,6.1,0.0,68.0,21.0055,41.1945,40.9,0.0,17.6855,0.32,0.0055,0.0055,2.77,7.5,3.0,7.1,60.5,0.0,0.9,0.0,27.21149127894009,0.0,68.0055,68.0055,0.0,6.237,59.0
Argentina,Maize,2022/23,10.6,8.0,0.0,65.1,22.417,27.561,34.691,0.0,18.527,0.32,0.01,0.008,3.24,6.1,3.57,7.0,59.0,0.0,0.63,0.0,37.70667973831564,0.0,65.108,65.108,0.0,5.566,41.4
Argentina,Maize,2023/24,10.5,3.0,0.0,49.4,21.2164,30.9695,25.2,0.0,17.3964,0.32,0.0179,0.0164,3.25,8.0,3.5,7.0,41.4,0.0,0.88,0.0,14.595785768505584,0.0,49.4164,49.4164,0.0,3.943,57.4
Argentina,Maize,2024/25,10.1,3.6,0.0,60.4,20.553878,35.724,36.2566,0.0,16.633878,0.32,0.0078,0.010478,3.25,3.0,3.6,7.0,57.4,0.0,0.79,0.0,17.525923762231635,0.0,60.410478,60.410478,0.0,5.683,52.0
Argentina,Maize,2025/26,9.2,6.0,0.0,55.6,20.541,30.0,29.065,0.0,16.621,0.32,0.008,0.006,3.3,3.6,3.6,7.0,52.0,0.0,0.9,0.0,27.04224645205501,0.0,55.606,55.606,0.0,5.652,59.0
Argentina,Rice,2000/01,0.1891,0.09,0.0,0.794721,0.253421,0.364,0.467,0.0,0.01,0.203421,0.0159,0.0157,0.0,0.18,0.04,5.5,0.614721,0.904001,0.0,0.0,36.58239167547354,0.0,0.810421,0.810421,0.0,4.781,0.58412
Argentina,Rice,2001/02,0.1507,0.08,0.0,0.67412,0.24602,0.231,0.364,0.0,0.009,0.20702,0.0102,0.0159,0.0,0.09,0.03,5.5,0.58412,0.859,0.0,0.0,30.29843963035904,0.0,0.69002,0.69002,0.0,5.7,0.48484
Argentina,Rice,2002/03,0.124,0.08,0.0,0.56484,0.26404,0.1776,0.231,0.0,0.008,0.22604,0.019,0.0102,0.0,0.08,0.03,5.9,0.48484,0.713,0.0,0.0,26.316828295853785,0.0,0.57504,0.57504,0.0,5.75,0.48824
Argentina,Rice,2003/04,0.133,0.11,0.0,0.56824,0.303988,0.249549,0.173236,0.0,0.008,0.265988,0.00862,0.018984,0.0,0.08,0.03,6.9,0.48824,0.718,0.0,0.0,26.837712353398995,0.0,0.587224,0.587224,0.0,5.398,0.7208
Argentina,Rice,2004/05,0.1692,0.18,0.0,0.8308,0.409871,0.350332,0.249549,0.0,0.015,0.324871,0.006265,0.00862,0.0,0.11,0.07,8.4,0.7208,1.06,0.0,0.0,50.5599514624466,0.0,0.83942,0.83942,0.0,6.265,0.65008
Argentina,Rice,2005/06,0.159,0.13,0.0,0.83008,0.356013,0.490655,0.350332,0.0,0.01,0.306013,0.005504,0.006265,0.0,0.18,0.04,7.8,0.65008,0.956,0.0,0.0,35.47754135180349,0.0,0.836345,0.836345,0.0,6.013,0.81158
Argentina,Rice,2006/07,0.169,0.09,0.0,0.94158,0.366429,0.439026,0.490655,0.0,0.01,0.311429,0.009356,0.005504,0.0,0.13,0.045,7.9,0.81158,1.1935,0.0,0.0,24.67118789028449,0.0,0.947084,0.947084,0.0,7.062,0.734468
Argentina,Rice,2007/08,0.1646,0.03,0.0,0.824468,0.364798,0.413138,0.439026,0.0,0.012,0.312798,0.00835,0.009356,0.0,0.09,0.04,7.8,0.734468,1.0801,0.0,0.0,7.719782199211552,0.0,0.833824,0.833824,0.0,6.562,0.8534
Argentina,Rice,2008/09,0.183,0.09,0.0,0.8834,0.388612,0.600295,0.413138,0.0,0.014,0.327612,0.006532,0.00835,0.0,0.03,0.047,8.1,0.8534,1.255,0.0,0.0,23.892388681379067,0.0,0.89175,0.89175,0.0,6.858,0.910452
Argentina,Rice,2009/10,0.1971,0.03,0.0,1.000452,0.376689,0.464662,0.600295,0.1,0.015,0.311689,0.008223,0.006532,0.0,0.09,0.05,7.6,0.910452,1.3389,0.0,0.0,7.711983136463542,0.0,1.006984,1.006984,0.0,6.793,0.845444
Argentina,Rice,2010/11,0.2157,0.03,0.0,0.875444,0.389005,0.728945,0.464662,0.1,0.013,0.331005,0.008861,0.008223,0.0,0.03,0.045,8.0,0.845444,1.2433,0.0,0.0,6.687114376404294,0.0,0.883667,0.883667,0.0,5.764,1.188708
Argentina,Rice,2011/12,0.2574,0.05,0.0,1.218708,0.448624,0.61024,0.728945,0.1,0.019,0.359624,0.005296,0.008861,0.0,0.03,0.07,8.6,1.188708,1.7481,0.0,0.0,10.609043997827268,0.0,1.227569,1.227569,0.0,6.791,1.06624
Argentina,Rice,2012/13,0.2354,0.04,0.0,1.11624,0.471296,0.527342,0.61024,0.1,0.018,0.388296,0.00568,0.005296,0.0,0.05,0.065,9.2,1.06624,1.568,0.0,0.0,7.975785515175926,0.0,1.121536,1.121536,0.0,6.661,1.06318
Argentina,Rice,2013/14,0.2327,0.08,0.0,1.10318,0.501518,0.4925,0.527342,0.1,0.018,0.408518,0.0057,0.00568,0.0,0.04,0.075,9.6,1.06318,1.5635,0.0,0.0,15.606710885680842,0.0,1.10886,1.10886,0.0,6.719,1.0744
Argentina,Rice,2014/15,0.2432,0.155,0.0,1.1544,0.5126,0.31,0.4925,0.1,0.018,0.4246,0.007,0.0057,0.0,0.08,0.07,9.9,1.0744,1.58,0.0,0.0,28.55563743551953,0.0,1.1601,1.1601,0.0,6.497,1.0608
Argentina,Rice,2015/16,0.2326,0.37,0.0,1.2158,0.5428,0.527309,0.31,0.1,0.018,0.4448,0.008426,0.007,0.0,0.155,0.08,10.2,1.0608,1.56,0.0,0.0,66.89362286821776,0.0,1.2228,1.2228,0.0,6.707,0.952
Argentina,Rice,2016/17,0.20774,0.25,0.0,1.322,0.553117,0.3907,0.527309,0.1,0.02,0.458117,0.0092,0.008426,0.0,0.37,0.075,10.4,0.952,1.4,0.0,0.0,44.41286196482501,0.0,1.330426,1.330426,0.0,6.739,0.9044
Argentina,Rice,2017/18,0.204,0.21,0.0,1.1544,0.5629,0.37674,0.3907,0.1,0.02,0.4629,0.006477,0.0092,0.0,0.25,0.08,10.5,0.9044,1.33,0.0,0.0,37.839405957364,0.0,1.1636,1.1636,0.0,6.52,0.93024
Argentina,Rice,2018/19,0.198,0.215,0.0,1.14024,0.554977,0.389026,0.37674,0.1,0.013,0.471977,0.006935,0.006477,0.0,0.21,0.07,10.6,0.93024,1.368,0.0,0.0,41.18631924569651,0.0,1.146717,1.146717,0.0,6.909,0.809109
Argentina,Rice,2019/20,0.183285,0.12,0.0,1.024109,0.522018,0.336528,0.389026,0.1,0.005,0.470018,0.009046,0.006935,0.0,0.215,0.047,10.5,0.809109,1.189866,0.0,0.0,21.65685791476944,0.0,1.031044,1.031044,0.0,6.492,0.831579
Argentina,Rice,2020/21,0.1853,0.07,0.0,0.951579,0.554097,0.402891,0.336528,0.1,0.005,0.501097,0.002201,0.009046,0.0,0.12,0.048,11.1,0.831579,1.22291,0.0,0.0,12.44495330475735,0.0,0.960625,0.960625,0.0,6.6,0.988167
Argentina,Rice,2021/22,0.199993,0.095,0.0,1.058167,0.562477,0.407136,0.402891,0.1,0.005,0.505477,0.001596,0.002201,0.0,0.07,0.052,11.2,0.988167,1.453187,0.0,0.0,19.164430816404757,0.0,1.060368,1.060368,0.0,7.266,0.83125
Argentina,Rice,2022/23,0.18607,0.025,0.0,0.92625,0.49571,0.295048,0.407136,0.1,0.005,0.46571,0.000369,0.001596,0.0,0.095,0.025,10.3,0.83125,1.222426,0.0,0.0,5.03724539243164,0.0,0.927846,0.927846,0.0,6.57,0.790982
Argentina,Rice,2023/24,0.173002,0.025,0.0,0.815982,0.496303,0.266818,0.295048,0.1,0.005,0.473303,0.006072,0.000369,0.0,0.025,0.018,10.4,0.790982,1.163209,0.0,0.0,4.35314070395509,0.0,0.816351,0.816351,0.0,6.724,0.860044
Argentina,Rice,2024/25,0.19095,0.05,0.0,0.885044,0.574298,0.463254,0.266818,0.1,0.005,0.544298,0.004833,0.006072,0.0,0.025,0.025,11.9,0.860044,1.26477,0.0,0.0,7.9686100512859745,0.0,0.891116,0.891116,0.0,6.624,1.105883
Argentina,Rice,2025/26,0.23372,0.07,0.0,1.155883,0.627462,0.34,0.463254,0.1,0.005,0.552462,0.001,0.004833,0.0,0.05,0.07,12.0,1.105883,1.626298,0.0,0.0,11.117209574803969,0.0,1.160716,1.160716,0.0,6.958,0.85
Argentina,Soybean,2000/01,10.4,5.5,0.0,32.68,20.46,7.156,7.0,0.0,0.0,0.0,0.32,0.28,0.0,5.8,0.0,0.0,26.88,0.0,0.0,0.0,26.88172,0.0,32.96,32.96,0.0,2.585,30.0
Argentina,Soybean,2001/02,11.41,6.2,0.0,35.5,23.338,5.95,6.222,0.0,0.0,0.0,0.251,0.26,0.0,5.5,0.0,0.0,30.0,0.0,0.0,0.0,26.566115,0.0,35.76,35.76,0.0,2.629,34.819
Argentina,Soybean,2002/03,12.8,6.54,0.0,41.019,25.959,9.05,8.9,0.0,0.0,0.0,0.383,0.38,0.0,6.2,0.0,0.0,34.819,0.0,0.0,0.0,25.193574,0.0,41.399,41.399,0.0,2.72,31.58
Argentina,Soybean,2003/04,14.29,6.0,0.0,38.12,26.068,6.687,6.772,0.0,0.0,0.0,0.45,0.72,0.0,6.54,0.0,0.0,31.58,0.0,0.0,0.0,23.016725,0.0,38.84,38.84,0.0,2.21,38.29
Argentina,Soybean,2004/05,14.3,6.15,28.9,44.29,28.98,9.517,9.8,0.0,1.4,0.0,0.692,0.64,0.0,6.0,0.0,0.0,38.29,0.0,0.0,0.0,21.221532,0.0,44.93,44.93,0.0,2.678,40.54
Argentina,Soybean,2005/06,15.32,7.3,32.48,46.69,32.94,7.349,7.25,0.0,1.46,0.0,0.584,0.8,0.0,6.15,0.0,0.0,40.54,0.0,0.0,0.0,22.161506,0.0,47.49,47.49,0.0,2.646,47.483
Argentina,Soybean,2006/07,16.141,8.9,34.73,54.783,38.483,9.519,9.8,0.0,1.48,0.0,2.465,2.4,0.0,7.3,0.0,0.0,47.483,0.0,0.0,0.0,23.127095,0.0,57.183,57.183,0.0,2.942,46.24
Argentina,Soybean,2007/08,16.6,6.25,32.61,55.14,38.59,13.827,13.3,0.0,1.57,0.0,2.695,3.0,0.0,8.9,0.0,0.0,46.24,0.0,0.0,0.0,16.195906,0.0,58.14,58.14,0.0,2.786,31.0
Argentina,Soybean,2008/09,16.5,1.0,28.72,37.25,33.05,5.583,4.7,0.0,1.59,0.0,1.5,1.5,0.0,6.25,0.0,0.0,31.0,0.0,0.0,0.0,3.025719,0.0,38.75,38.75,0.0,1.879,52.68
Argentina,Soybean,2009/10,18.6,4.5,37.53,53.68,35.861,12.633,13.32,0.0,1.4,0.0,0.05,0.001,0.0,1.0,0.0,0.0,52.68,0.0,0.0,0.0,12.548451,0.0,53.681,53.681,0.0,2.832,48.9
Argentina,Soybean,2010/11,18.46,4.8,35.95,53.4,38.275,9.201,10.33,0.0,1.48,0.0,0.001,0.005,0.0,4.5,0.0,0.0,48.9,0.0,0.0,0.0,12.540823,0.0,53.405,53.405,0.0,2.649,40.1
Argentina,Soybean,2011/12,18.3,2.6,30.72,44.9,36.295,7.614,6.03,0.0,0.0,0.4,0.023,0.025,0.0,4.8,0.0,0.0,40.1,0.0,0.0,0.0,7.163521,0.0,44.925,44.925,0.0,2.191,49.3
Argentina,Soybean,2012/13,19.4,5.38,43.0,51.9,39.01,8.175,7.76,0.0,0.0,0.5,0.25,0.25,0.0,2.6,0.0,0.0,49.3,0.0,0.0,0.0,13.791336,0.0,52.15,52.15,0.0,2.541,53.397
Argentina,Soybean,2013/14,19.252,9.9,38.5,58.777,41.467,8.238,7.42,0.0,0.0,0.0,0.01,0.01,0.0,5.38,0.0,0.0,53.397,0.0,0.0,0.0,23.874406,0.0,58.787,58.787,0.0,2.774,61.447
Argentina,Soybean,2014/15,19.352,15.0,45.1,71.347,44.818,10.575,11.67,0.0,0.0,0.0,0.002,0.141,0.0,9.9,0.0,0.0,61.447,0.0,0.0,0.0,33.468696,0.0,71.488,71.488,0.0,3.175,58.799
Argentina,Soybean,2015/16,19.505,16.2,43.1,73.799,49.855,9.921,9.048,0.0,0.0,0.0,0.676,1.304,0.0,15.0,0.0,0.0,58.799,0.0,0.0,0.0,32.494233,0.0,75.103,75.103,0.0,3.015,54.971
Argentina,Soybean,2016/17,17.335,16.8,41.94,71.171,49.725,7.025,7.246,0.0,0.0,0.5,1.674,2.6,0.0,16.2,0.0,0.0,54.971,0.0,0.0,0.0,33.785822,0.0,73.771,73.771,0.0,3.171,37.787
Argentina,Soybean,2017/18,16.318,12.0,36.8,54.587,46.001,2.132,3.842,0.0,0.0,0.5,4.703,7.256,0.0,16.8,0.0,0.0,37.787,0.0,0.0,0.0,26.086389,0.0,61.843,61.843,0.0,2.316,55.264
Argentina,Soybean,2018/19,16.576,13.0,41.2,67.264,47.797,9.104,10.256,0.0,0.0,0.0,6.408,3.789,0.0,12.0,0.0,0.0,55.264,0.0,0.0,0.0,27.19836,0.0,71.053,71.053,0.0,3.334,48.78
Argentina,Soybean,2019/20,16.711,12.5,37.25,61.78,47.557,10.004,6.662,0.0,0.0,0.0,4.882,4.939,0.0,13.0,0.0,0.0,48.78,0.0,0.0,0.0,26.284248,0.0,66.719,66.719,0.0,2.919,46.217
Argentina,Soybean,2020/21,16.467,10.5,41.0,58.717,47.278,5.196,5.377,0.0,0.0,0.0,4.816,4.438,0.0,12.5,0.0,0.0,46.217,0.0,0.0,0.0,22.209061,0.0,63.155,63.155,0.0,2.807,43.861
Argentina,Soybean,2021/22,15.874,9.0,36.25,54.361,44.38,2.862,5.552,0.0,0.0,0.0,3.839,4.571,0.0,10.5,0.0,0.0,43.861,0.0,0.0,0.0,20.279405,0.0,58.932,58.932,0.0,2.763,25.045
Argentina,Soybean,2022/23,14.357,5.0,28.0,34.045,37.549,4.186,1.891,0.0,0.0,0.0,9.059,10.395,0.0,9.0,0.0,0.0,25.045,0.0,0.0,0.0,13.315934,0.0,44.44,44.44,0.0,1.744,48.213
Argentina,Soybean,2023/24,16.371,9.3,42.25,53.213,46.536,5.114,4.573,0.0,0.0,0.0,7.787,7.196,0.0,5.0,0.0,0.0,48.213,0.0,0.0,0.0,19.984528,0.0,60.409,60.409,0.0,2.945,51.108
Argentina,Soybean,2024/25,17.455,7.5,41.25,60.408,46.708,7.868,12.5,0.0,0.0,0.0,6.324,6.3,0.0,9.3,0.0,0.0,51.108,0.0,0.0,0.0,16.057206,0.0,66.708,66.708,0.0,2.928,48.0
