N,P,K,ph,temp_summer,temp_winter,rain_summer,rain_winter,altitude,label
57.63,35.15,133.71,6.06,20.62,7.15,116.39,534.75,302.43,grape
96.43108358097165,43.09597068532364,44.51006205041925,4.81,36.19,33.76,1328.75,191.52,96.48,mango
64.61512490698262,55.85273312475904,96.956386374737,7.76,25.85,6.41,112.63,478.78,571.18,olive
152.85,52.14,138.8,6.48,32.84,19.7,229.69,216.95,0.0,tomato
29.266508976435723,37.81768410324232,92.77608980270573,6.84,27.66,6.61,109.09,446.73,297.33,olive
69.36391460215543,31.917156141339127,47.44565777804035,6.45,21.23,-1.83,125.9,138.33,1627.27,wheat
88.67735470663897,34.91833875997113,57.24683223927752,6.69,33.97,13.42,92.51,582.01,147.76,citrus
39.60543502285316,26.99159563954576,45.4577340372327,8.3,26.85,9.34,62.43,327.62,505.73,fig
10.92,19.05,8.56,7.05,29.64,12.71,47.68,258.69,514.06,almond
115.07391993005824,57.3400750680974,52.288425964460586,6.3,33.16,26.94,853.82,404.79,256.91,mango
131.04,47.42,95.01,6.39,35.53,14.92,246.81,172.42,37.39,tomato
65.43,17.31,50.9,7.66,26.49,7.07,23.07,132.09,433.28,almond
128.8,50.81,178.13,6.2,29.86,11.46,227.38,210.49,153.29,tomato
124.8114803795404,54.253656320881255,80.19566731483168,6.4,33.44,28.68,631.19,95.83,311.0,cotton
101.1005807955418,21.399274940646144,40.56010638944917,6.15,34.68,27.09,1968.4,570.09,215.69,mango
93.3686117348304,50.76924814165751,58.63577086102348,5.84,32.89,26.77,1859.43,575.72,547.94,mango
81.08186349185286,31.492264180378804,48.34667840292479,7.17,33.94,7.87,129.21,179.42,1323.15,wheat
23.94845810954143,23.456417136689534,94.4225176249013,7.33,26.36,4.24,80.48,528.43,79.72,olive
56.86,17.31,111.21,5.96,25.73,10.04,52.56,335.86,331.38,grape
117.89,35.29,152.99,6.41,23.49,8.52,172.74,173.89,77.1,tomato
112.84,64.78,192.92,6.17,26.86,20.95,903.84,299.54,462.0,banana
31.975508495476905,18.463725122139333,99.4919665496432,7.65,30.96,13.92,54.21,389.62,427.43,olive
107.14,67.43,195.67,5.94,34.06,27.89,1144.95,392.98,309.78,banana
74.83650570291552,31.767189069721944,48.95972438332391,6.88,29.23,2.52,77.15,146.54,325.53,wheat
152.42,37.55,99.46,6.59,28.18,22.25,1082.87,294.8,245.37,sugarcane
88.3286085950511,48.363824235710965,48.52065698889648,5.51,28.38,16.58,188.1,233.08,190.18,maize
102.35,66.5,172.28,6.21,28.13,10.6,206.15,314.85,62.12,tomato
103.12,62.27,215.0,4.95,30.8,24.37,1190.43,283.78,148.64,banana
134.26164882755177,43.94385384744082,88.85930991370091,6.4,34.86,28.76,359.32,83.65,27.6,cotton
120.67502972779704,42.59169074249526,77.97318184135217,6.76,33.1,27.56,390.82,94.05,58.7,cotton
99.70595471387072,32.85492069267226,52.436481726115495,7.17,29.0,11.21,51.07,435.1,119.55,citrus
84.07,66.01,190.44,6.16,33.0,26.61,903.23,274.69,375.52,banana
69.69876302441992,41.45958342612516,35.45101065308593,7.54,25.39,-2.77,124.89,147.43,312.91,wheat
26.62,67.56,61.54,6.93,26.21,2.2,91.45,167.06,490.23,chickpea
0.0,27.3,104.26,7.83,32.2,14.42,42.34,216.0,660.21,almond
24.6,42.85,80.41,7.74,30.59,9.67,40.04,354.5,454.64,almond
88.31553416419987,48.90909112178508,50.4597461638342,4.6,41.27,35.77,762.18,168.47,10.93,mango
35.22,18.9,59.82,7.43,21.61,4.94,28.23,260.8,567.34,almond
24.9,52.15,34.88,6.22,34.12,8.91,119.57,136.18,543.33,lentil
44.92,32.06,50.52,6.76,24.3,7.41,31.44,209.17,453.62,almond
72.3889977829392,37.954837137957874,48.250252190782135,6.7,33.52,4.29,68.72,111.7,1400.98,wheat
109.26723861693458,46.74035624321575,74.595929103572,5.38,29.65,21.26,372.39,93.01,465.85,cotton
14.81,6.03,17.08,7.53,28.28,8.66,58.62,246.66,442.21,almond
0.0,45.87,64.05,6.62,24.44,-4.6,77.46,218.14,566.4,lentil
94.58109453803075,24.990437151723047,56.345885231773096,7.07,27.56,7.57,66.08,610.94,116.76,citrus
50.12,29.15,85.13,6.39,22.99,5.49,41.86,373.62,210.05,grape
137.82,50.15,156.89,5.72,33.98,13.53,291.74,302.57,119.3,tomato
107.47,49.03,23.6,6.49,25.83,21.31,934.23,313.51,451.42,rice
71.32929433714979,30.14637001359298,53.0317180453561,6.99,28.02,6.53,39.43,398.64,17.27,citrus
106.84,66.43,210.81,5.53,29.33,23.91,1266.52,252.27,70.24,banana
86.86055601636785,35.872335613145474,44.739311094545776,6.41,25.7,0.27,96.15,112.52,334.57,wheat
135.85,49.22,207.1,5.89,29.28,15.34,205.18,192.16,378.31,tomato
122.41,61.46,66.03,5.42,30.64,28.06,1236.07,242.47,222.39,rice
112.01299437625956,58.558137015531486,40.86446302835558,6.78,35.32,27.09,962.08,257.51,225.76,mango
35.48,22.31,66.86,6.56,28.7,11.54,37.65,202.68,456.93,almond
70.7855307636762,36.316387593026114,33.08429496977161,6.45,25.43,-0.68,95.73,116.44,949.86,wheat
107.53470646076904,44.947487021687145,54.45446300817873,6.51,33.15,22.16,173.7,256.34,185.54,maize
20.73,18.77,74.34,7.44,24.06,4.08,31.95,120.16,477.92,almond
50.10761928133078,48.5113925444628,43.21176701872537,7.7,24.16,5.23,44.06,478.18,338.59,fig
104.98072061457388,57.22844889330175,46.84999986016275,5.63,36.34,30.43,650.65,296.4,316.62,mango
119.56947311090836,52.34892264430725,45.73171284608292,6.65,29.56,14.15,201.74,255.68,130.36,maize
22.27,25.43,92.49,6.71,24.82,5.9,59.09,287.49,582.47,almond
79.61781721240953,22.591074755209917,48.478990145483,6.85,31.92,12.65,109.61,327.12,84.29,citrus
78.61,45.78,77.92,5.31,27.95,4.91,61.14,414.62,299.09,grape
89.66,80.34,184.56,5.95,28.87,25.29,974.93,233.4,350.19,banana
68.62197819958374,34.145666116981474,42.20540056616421,7.23,30.85,4.54,165.94,210.09,1057.75,wheat
25.51,30.3,41.07,7.55,24.07,5.33,51.22,201.05,575.34,almond
70.55421662130414,38.2301067064387,30.526696386139825,6.61,28.21,-2.19,140.97,184.59,1181.46,wheat
87.15627149412855,37.43194301903122,44.561498788835806,6.73,27.32,7.21,88.31,270.27,7.91,citrus
21.95,44.18,35.28,6.34,27.97,0.85,82.58,78.45,690.71,lentil
35.63710766395249,48.749830594441605,53.81422890041247,7.99,28.98,11.13,80.4,403.06,316.8,fig
98.72261841704923,50.48930248176772,41.53698923722468,6.08,38.77,32.38,993.18,224.28,33.83,mango
66.43855308626075,34.06116138399935,44.1675631154173,6.47,32.97,2.91,172.55,246.21,1088.69,wheat
106.61525047283963,42.65825983672373,58.23572046978467,6.5,37.57,18.05,221.7,149.51,90.3,maize
26.18,54.12,52.12,8.3,33.77,10.3,125.7,155.36,643.18,chickpea
36.06,21.73,146.32,6.15,24.96,7.56,56.83,276.11,401.55,grape
91.6440861361446,27.15796171091296,41.4007045066233,6.56,30.87,14.16,85.69,595.41,156.05,citrus
76.33904962188986,43.96092084598665,44.67135045301877,6.22,27.18,-1.24,84.07,152.42,845.57,wheat
88.69937415451912,40.81635058730394,47.8588887874672,5.38,31.32,28.81,1004.71,266.96,422.45,mango
86.51009493285824,32.52088940931433,50.71036728921434,6.2,29.32,15.22,33.14,347.95,176.98,citrus
128.81,25.95,157.27,5.57,38.49,33.56,1172.11,231.37,308.39,sugarcane
93.36985496628526,28.1707021293408,53.39852684322646,5.36,36.64,30.7,1409.88,470.94,569.71,mango
30.41,41.07,50.87,6.69,20.7,-5.74,121.73,172.31,543.02,lentil
82.75095731322851,41.44291147132712,49.102924819730674,5.59,26.38,8.2,209.23,186.26,148.31,maize
110.34,75.09,175.81,6.56,28.29,23.43,890.07,203.18,76.83,banana
48.74386196156176,22.931218261602755,64.88818115995579,6.32,26.66,12.92,68.54,284.03,426.88,fig
40.0935105545253,20.4499550113141,31.903327701844496,7.01,31.5,12.05,84.57,579.18,426.32,fig
168.32,52.32,146.77,6.27,33.49,30.2,818.53,200.28,167.15,sugarcane
147.78,46.14,115.68,6.37,32.06,29.18,895.42,282.42,123.8,sugarcane
36.33624775763855,24.83300069769267,45.41881738798942,7.74,29.31,12.11,87.21,304.57,556.77,fig
103.5369739878076,56.55566703819134,56.07450994632174,6.47,37.45,19.69,142.15,246.2,160.43,maize
64.42309308967597,32.478650253078726,45.786770171899946,7.2,30.53,4.63,80.51,180.82,1397.22,wheat
84.52331359310749,48.964841691616925,33.450501082448696,5.52,30.53,8.17,86.01,152.34,1189.21,wheat
39.395461521109056,49.88038350146745,36.32962967261051,7.26,26.71,9.72,88.99,295.82,471.3,fig
62.88,16.8,32.27,7.43,28.53,10.74,63.4,274.77,614.37,almond
25.0,23.18,66.45,7.73,31.63,15.8,41.33,267.41,511.14,almond
21.68,48.33,43.87,7.2,27.49,4.42,144.63,195.02,612.02,chickpea
118.39373706954076,41.809428733022976,49.39779816082879,6.24,38.8,34.99,1539.17,303.5,534.32,mango
23.04,58.93,89.78,6.26,28.49,0.86,131.06,170.17,652.46,chickpea
67.2,32.67,52.98,7.3,17.96,4.0,70.13,450.5,186.13,grape
41.15,51.88,43.05,6.99,29.67,6.31,114.28,205.95,480.7,chickpea
26.87,17.63,107.04,7.86,28.62,9.32,26.04,241.69,544.39,almond
100.80359750423338,50.61407975678616,47.67444349438909,5.78,35.04,30.28,1262.04,292.42,147.57,mango
59.72891393500952,46.32702653120664,52.49892340051108,8.39,27.98,13.89,64.84,387.64,717.93,olive
32.34,33.92,151.83,6.4,21.31,5.68,53.75,468.13,155.68,grape
41.01,57.23,92.37,6.88,26.31,3.25,141.37,194.49,428.11,chickpea
93.58391267386546,23.17552572574525,59.80652189053731,6.66,32.71,14.26,64.12,637.91,278.81,citrus
85.76,37.94,71.64,5.73,27.05,21.09,881.23,325.07,112.23,rice
21.733513336324165,32.225944399637456,61.3263602418437,7.64,30.02,13.53,76.38,376.73,96.3,olive
57.52,22.79,79.52,5.76,24.58,7.19,74.75,319.2,179.55,grape
22.58,14.01,44.08,7.04,24.38,6.29,22.22,215.29,458.94,almond
142.57,52.79,103.03,6.53,30.32,27.67,1139.7,212.15,485.92,sugarcane
87.19370998724946,48.493415492506536,45.116337666851294,6.45,30.75,15.39,221.77,201.03,114.25,maize
124.07,86.56,201.02,5.27,29.54,24.48,937.15,371.08,498.37,banana
81.22011109677261,50.36509824209064,53.87208683843758,6.29,35.85,20.28,291.49,326.43,175.63,maize
144.96,39.54,129.18,6.66,19.2,7.89,293.67,265.56,233.84,tomato
122.69,52.73,93.75,5.5,30.62,25.53,1072.71,189.17,98.19,sugarcane
157.59,49.56,150.17,6.12,26.67,10.96,251.53,230.06,0.0,tomato
35.36523205523398,25.399988498320607,57.814170029274784,8.05,28.36,8.94,65.91,536.67,498.99,fig
49.140341754174486,51.98239259634117,80.153141795492,8.13,23.84,6.94,43.95,237.65,599.35,olive
96.02797124973011,55.82676850551572,42.383140910809296,4.96,39.9,35.47,1189.43,243.46,326.13,mango
78.47966958272033,24.12329689262414,54.76083610028412,6.35,32.47,11.29,52.74,663.4,188.31,citrus
33.43,33.29,26.51,7.19,25.26,10.41,30.67,153.61,542.67,almond
57.05748323513649,35.07642820166069,34.2289824172454,7.36,25.73,5.17,83.3,297.78,338.75,fig
100.85688169393296,51.58848036842196,44.898780913873125,6.31,31.29,27.37,1329.85,193.14,341.93,mango
69.7718758095655,44.67798458883466,69.02815239163883,7.89,35.27,13.44,56.04,484.81,92.95,olive
41.26,70.06,37.36,7.11,32.24,6.4,118.11,236.5,523.02,chickpea
123.31,55.63,160.46,6.03,28.78,16.65,180.29,180.05,0.0,tomato
100.85,78.37,188.83,5.37,30.87,24.17,1047.89,217.81,207.42,banana
93.39842789220856,43.5339201775013,48.10316808800072,6.31,26.78,10.42,221.88,196.3,82.69,maize
113.3,51.13,52.16,6.59,29.39,22.21,801.77,275.97,303.53,rice
75.51736153698475,39.83912741606304,46.546910827980334,7.13,26.08,10.3,127.03,715.49,169.54,citrus
40.28,34.59,43.56,7.24,28.01,6.3,54.63,208.62,502.59,almond
100.5776841694058,55.42088595877964,76.53267720561986,6.37,34.32,28.16,366.63,123.02,560.62,cotton
41.91560658951386,45.45253179291533,56.59231034320978,7.79,35.33,15.08,50.46,653.28,229.89,fig
14.94,52.86,40.42,7.35,36.47,10.69,102.73,145.71,632.74,chickpea
44.3,38.66,34.95,6.56,27.52,0.86,123.63,167.3,393.56,lentil
71.6175005136931,35.06172788882658,56.5440960017347,6.53,32.4,13.57,39.78,420.5,119.45,citrus
87.19941233714566,39.23943739548142,55.37968000352813,6.84,30.88,10.13,65.31,415.76,221.25,citrus
37.35837914923102,20.61204832064619,41.44723483191629,7.04,27.59,11.53,67.56,323.69,377.82,fig
134.16,54.83,116.64,5.47,30.53,26.01,816.86,309.71,217.44,sugarcane
73.15,93.46,170.46,5.45,24.36,18.09,864.37,342.25,106.82,banana
12.64,56.48,55.19,5.88,22.66,-4.0,94.67,128.88,516.15,lentil
111.15954023598434,27.81067740764216,42.00286575476702,5.78,31.81,24.81,1365.8,221.51,449.98,mango
126.13593070359956,42.132261726224215,87.05550408330458,5.92,25.75,19.53,420.16,96.23,21.93,cotton
90.64416332216264,41.22848489053885,40.62878845949094,6.91,32.9,17.15,171.99,286.55,119.13,maize
4.05,47.57,56.56,7.21,32.29,6.42,107.52,171.62,403.56,chickpea
126.47,61.39,92.87,6.22,39.42,35.12,811.23,335.37,567.67,sugarcane
111.55083595263017,47.355522653036935,48.26016507518127,6.44,34.69,21.2,200.11,171.47,44.3,maize
149.82,60.8,118.14,5.63,30.97,28.27,1178.79,327.91,16.26,sugarcane
66.76740741736879,31.796378802545643,42.56499881895062,7.75,21.53,-1.19,119.45,127.67,366.57,wheat
119.72435392992978,44.59677991597391,79.95877127024266,7.32,30.76,25.64,500.98,97.72,59.66,cotton
77.94165082618937,48.86921428559752,33.57713369655309,6.53,33.14,7.35,148.49,215.5,835.49,wheat
94.947221643124,50.12292504760179,51.00043283510841,5.61,28.74,14.16,215.14,315.49,190.49,maize
101.45,44.35,174.07,6.61,28.46,17.88,157.42,133.79,84.04,tomato
144.41,53.11,159.54,6.56,29.66,24.79,899.73,335.95,490.47,sugarcane
43.45223523047799,38.13466946775378,37.956672549488985,7.43,27.87,12.27,48.09,347.77,367.3,fig
131.28392588350405,40.16928843234619,77.08504607004478,6.17,30.19,24.89,408.66,119.95,261.68,cotton
13.39,40.78,36.93,6.95,25.26,-2.2,82.76,89.68,268.7,lentil
62.78480469187697,50.83086527436159,65.10337200270001,7.46,34.54,14.4,89.56,462.38,343.04,olive
14.74,47.75,36.12,8.03,31.15,9.41,101.44,167.56,667.57,chickpea
15.78,62.19,8.38,7.53,27.17,4.78,112.95,177.05,411.97,chickpea
23.48,58.03,56.76,6.55,22.91,-1.27,105.19,156.23,624.06,lentil
18.89,1.21,56.19,7.08,24.96,6.76,53.34,252.5,443.02,almond
109.31835121540786,55.30861243756056,43.03523227826351,6.9,28.04,11.36,288.49,190.21,416.38,maize
17.7,51.54,63.15,6.21,20.26,-0.63,115.62,166.34,385.81,lentil
15.88,61.46,63.6,7.02,26.5,-0.68,117.96,139.66,386.43,lentil
119.36,67.14,230.29,5.87,29.01,22.59,952.98,275.6,28.18,banana
0.0,42.97,41.04,8.29,28.83,3.4,36.86,93.1,673.07,chickpea
46.072284452179474,27.237571773830197,61.46867496013559,6.86,24.6,8.79,44.86,308.46,576.64,olive
80.64955967797326,50.02104000470926,43.67826210385231,5.46,28.53,13.64,233.99,263.73,228.91,maize
63.75076496759681,46.66589943040813,48.93300166778352,7.22,24.6,-5.41,90.37,143.41,619.62,wheat
20.8,60.02,41.9,7.49,25.31,1.43,104.0,174.97,679.74,chickpea
49.59,16.43,73.27,8.01,29.63,10.99,16.69,118.3,379.96,almond
41.66,62.09,71.43,7.55,37.04,9.7,86.24,116.01,654.1,chickpea
117.02,63.34,156.58,5.88,29.65,13.51,255.04,240.2,0.0,tomato
40.31,54.68,63.44,7.7,27.74,2.57,89.53,128.26,423.27,lentil
12.71,58.44,31.49,7.33,31.23,4.91,162.47,185.96,561.72,chickpea
25.49,5.02,46.97,7.08,23.84,7.48,54.7,276.08,516.98,almond
127.7872966974122,59.36829725391236,80.88520043618965,6.48,36.61,29.55,386.56,124.2,149.8,cotton
15.05,68.64,56.03,7.96,23.82,-0.45,125.86,177.03,598.43,chickpea
89.35359444642978,43.61424241226761,43.500213853616685,7.06,25.71,1.24,145.42,145.89,1108.71,wheat
59.59,39.81,110.47,6.95,30.28,12.59,77.25,334.79,414.93,grape
80.59248533733565,55.65014035371806,49.29725596646314,5.77,30.24,9.79,259.34,196.64,143.27,maize
93.60435746011476,43.987452569122375,56.14997463313321,5.42,40.39,32.43,1487.14,560.02,22.2,mango
106.9,31.83,88.47,5.48,31.38,26.67,834.72,173.65,417.77,rice
81.17253830190228,42.30865559348628,46.854594248668135,5.79,26.81,10.76,148.23,183.01,312.9,maize
139.51809472826258,51.84291199977728,72.66459414553685,5.77,30.91,24.13,463.57,150.9,531.59,cotton
0.0,58.71,51.41,7.36,27.66,2.56,69.42,212.47,525.92,lentil
120.4125033364816,54.39799272769399,70.10718609251192,6.86,25.19,19.63,447.02,163.46,479.27,cotton
48.73,42.24,49.03,7.26,29.22,1.13,161.54,202.5,479.22,chickpea
39.61608500419487,28.31076346608873,67.45410231299942,7.46,27.72,9.08,75.78,437.79,334.14,fig
160.6,37.32,154.32,6.5,28.93,12.58,222.11,271.53,136.32,tomato
12.61,3.44,73.13,7.26,19.79,5.7,48.59,292.72,627.0,almond
42.17,15.75,91.25,7.2,23.45,8.27,30.45,228.66,262.68,almond
52.33257761439978,45.87004749319195,30.74098306983824,7.99,33.39,12.89,63.21,480.21,414.16,fig
59.13659735656484,28.50383447792237,47.51109087558276,7.44,28.61,9.6,112.51,381.13,298.23,fig
36.77,69.01,27.01,8.41,24.61,-3.17,126.84,147.25,531.84,chickpea
87.14824483730436,33.28693838125428,42.70479655969445,5.82,39.16,34.66,2027.34,342.62,565.64,mango
70.11,24.1,110.18,6.01,23.26,4.0,55.81,271.3,244.92,grape
73.63726376680941,48.24603311130967,31.906516960081117,6.92,31.88,9.5,80.22,195.27,760.2,wheat
44.69,31.96,78.61,7.02,22.88,4.72,79.05,440.5,317.85,grape
90.65798562026484,25.91702330424088,45.63271586706914,6.44,36.92,17.9,57.74,453.06,208.81,citrus
84.66514022276444,32.78437587034754,33.740644600116454,6.84,32.16,6.34,95.46,168.87,1059.16,wheat
118.99,43.77,155.09,6.03,32.23,15.79,189.88,326.62,0.0,tomato
43.26,55.97,117.04,6.25,25.94,11.57,74.79,421.29,183.4,grape
120.54,46.7,144.89,5.57,35.79,27.96,1136.08,297.86,52.19,sugarcane
88.77433767130321,41.27925544087904,48.81481076006725,5.36,32.83,18.55,183.42,250.93,35.31,maize
43.1410097009294,40.60267160845727,30.865079698471757,6.96,30.7,15.24,44.89,419.7,358.27,fig
122.78,60.81,130.17,5.57,36.69,31.06,1177.31,312.39,355.44,sugarcane
120.37,39.72,191.76,5.44,32.44,16.23,232.02,216.5,236.07,tomato
83.05943506949951,33.52629548373831,43.26920196259496,5.88,22.85,-4.02,116.59,162.63,1560.93,wheat
55.83100199916721,40.22658897342191,49.34372192417316,7.15,29.35,7.89,113.35,575.66,362.83,fig
46.975892206788586,26.6448064657892,50.041895111776725,7.76,28.61,8.81,100.92,373.37,523.48,fig
26.83,25.0,31.22,7.17,28.13,5.61,22.87,315.56,520.17,almond
104.03,54.69,179.31,6.02,27.93,15.28,264.05,175.79,33.71,tomato
94.95951140114246,43.17721928286903,49.21653978645445,5.34,30.23,11.15,237.25,158.39,155.86,maize
109.22,68.89,227.75,5.49,26.8,21.47,1157.06,283.7,155.88,banana
126.91,72.14,30.97,6.37,28.42,22.36,1041.35,164.65,456.62,rice
145.37,44.85,149.93,5.34,29.66,11.17,212.18,258.15,130.86,tomato
62.59,43.59,101.65,5.68,24.93,6.72,92.33,433.75,245.1,grape
103.39744473356193,20.36822669562572,51.907467330977866,5.69,39.12,35.71,1891.95,292.38,349.3,mango
39.8,50.5,84.81,7.21,24.94,-0.87,82.13,244.77,431.64,lentil
34.717069952827,21.043975996050506,42.866498855789885,7.2,28.84,5.19,74.87,270.83,492.87,fig
6.04,48.95,46.41,7.09,29.79,5.09,100.14,236.51,577.93,lentil
104.31383212467418,55.44024253777457,42.80152087405512,6.04,33.11,16.05,270.92,232.71,173.18,maize
79.78449151358085,23.291257532396408,40.2861497958847,6.35,28.48,8.85,77.4,485.19,49.09,citrus
130.37,52.17,126.85,5.77,28.38,10.25,176.8,156.75,86.38,tomato
44.92,43.04,140.31,7.44,21.49,4.0,50.88,513.51,327.68,grape
20.23,59.08,85.8,7.33,27.34,3.84,179.77,203.77,734.83,chickpea
81.41079141437037,35.043051841176315,39.533409923192174,6.07,23.85,-2.37,95.57,231.78,854.93,wheat
117.08699158692038,53.02766342312029,75.61169367386981,6.94,31.56,25.96,445.32,82.65,391.0,cotton
84.82094613613829,34.89623053531782,44.72595332421757,7.5,30.35,2.96,118.48,239.07,496.84,wheat
88.4075255456763,30.06136926957662,42.36325277067899,7.42,33.6,11.73,105.68,613.59,228.31,citrus
63.01390825979117,36.2169654185432,35.615775978513184,6.83,22.34,-2.2,62.34,192.85,1186.64,wheat
106.68,44.29,49.94,5.92,27.91,21.59,823.73,182.81,411.34,rice
23.18204546433212,46.15615151074762,75.62683791660713,7.63,25.4,9.62,86.29,370.44,467.67,olive
34.87,31.64,110.65,5.9,24.98,6.58,58.16,417.78,277.71,grape
150.83,63.93,151.15,5.84,29.82,27.5,1024.11,285.13,360.01,sugarcane
106.60816413924267,28.00883743154664,46.85480827177692,6.86,36.35,30.69,1527.29,437.16,23.77,mango
121.92,45.91,140.51,5.57,30.63,17.6,140.72,225.09,69.9,tomato
149.21,60.3,127.51,6.25,36.32,31.89,990.75,296.84,335.79,sugarcane
50.71868226244025,32.27748721356192,35.28647110100095,6.84,27.3,13.29,52.36,223.9,426.35,fig
108.50872011834198,24.52882599733797,44.51956769310367,5.16,39.36,36.17,1209.89,368.67,79.63,mango
45.40303491377461,28.67579455897609,45.05550150937901,7.54,25.72,6.18,70.33,259.59,545.31,fig
24.06,58.99,85.77,6.87,20.77,-0.86,67.4,107.26,418.79,lentil
111.4695875775718,42.887291177393486,82.10011439567084,7.92,30.58,24.74,336.7,118.33,425.44,cotton
5.12,43.97,50.68,6.75,26.12,-3.39,114.19,135.36,521.33,lentil
80.35491592415886,41.51261796546187,43.158350736941536,7.34,29.68,4.31,146.66,182.57,1507.68,wheat
49.5181956975631,44.26933248841126,56.89051759730264,7.89,29.5,10.92,81.23,548.15,338.78,fig
147.79,65.42,101.15,6.34,31.36,28.88,870.91,187.99,523.07,sugarcane
14.49,39.24,18.17,7.78,21.49,-5.69,48.1,74.43,541.73,lentil
119.43655543307892,55.18660461677403,43.6238915054023,7.15,36.57,18.67,171.82,178.37,176.58,maize
74.62,45.99,78.83,5.42,31.52,26.45,1011.33,311.69,390.2,rice
61.56867571928549,26.882789311217344,74.53560571840492,6.99,24.03,6.75,41.33,297.78,209.86,olive
71.56471692559988,29.89336564454687,57.54612380624116,6.74,25.28,5.3,99.48,565.09,127.65,citrus
72.9788003889041,23.49893027515976,56.73126070609743,5.99,29.76,13.46,138.83,388.27,260.11,citrus
115.2795036306452,53.70876494157874,52.78936878984207,5.95,38.83,33.34,989.45,238.55,524.05,mango
119.07445167165098,51.89879877987988,84.23361539322775,5.61,38.14,31.75,429.95,139.26,547.42,cotton
